World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,702944,12782,223,994,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,570293,8294,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,493026,7714,168,698,NqeXXzKTzRU,1263.0
Zulu Empire - Lies - Extra History,2015-06-13,436997,6633,149,415,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - Lies - Extra History,2015-08-01,455978,7343,143,566,FZwsRVgEu3A,1095.0
Europe: The First Crusade - Lies - Extra History,2015-09-19,615788,9398,437,1061,15KhdeIc0EI,1539.0
Middle East: Odenathus - Ghosts of the Desert - Extra History,2015-10-31,1286673,22822,263,987,0Pf6PMSB8uo,501.0
Middle East: Palmyra Today - Afterword - Extra History,2015-10-31,422040,13106,116,1411,v-GgknZYu3s,203.0
Korea: Admiral Yi - Lies - Extra History,2015-11-07,591437,10480,190,903,C3yCzHIbkgA,1240.0
♫ Admiral Yi: Drums of War - Sean and Dean Kiner - Extra History Music,2015-11-07,689648,12348,76,747,OYz0y5xUqmk,61.0
The Sanitary Movement - A John Snow Epilogue - Extra History,2015-12-05,1027013,22543,116,1212,cba7di0eL8I,394.0
England: The Broad Street Pump - Lies - Extra History,2015-12-12,318580,5826,94,601,rg_7q_FPjxQ,906.0
♫ The Broad Street Pump Theme - Sean and Dean Kiner - Extra History Music,2015-12-12,292299,4468,34,199,doteMFHPv18,92.0
On World War II and Nazi Symbolism: A Note from Extra History,2016-02-15,686400,10293,1197,1253,LSjFUOA2oZM,130.0
Justinian & Theodora - Lies 2 - Extra History,2016-03-05,272183,5056,90,454,wNs4Lklnky4,980.0
"♫ Justinian & Theodora: ""Monogenes Pais"" - Sean and Dean Kiner - Extra History Music",2016-03-05,350449,5628,50,417,kSWO0JOKmWA,90.0
Suleiman the Magnificent - Lies - Extra History,2016-04-23,407406,7497,261,896,ltT_CvI5wv0,1456.0
"♫ Suleiman the Magnificent: ""The Lawgiver"" - Sean and Dean Kiner - Extra History Music",2016-04-23,313383,4450,62,321,38pQQZj1HWM,70.0
Early Christian Schisms - Lies - Extra History,2016-05-28,385841,6588,165,920,6dnECIPXIRY,1165.0
"♫ Early Christian Schisms: ""Oxyrhynchus Hymn"" - Sean and Dean Kiner - Extra History Music",2016-05-28,235099,2652,49,158,SeZ6VJ-bQ80,73.0
